id,name,type,mana,attack,hp,faction,rarity,setName,description
1,Argeon Highmayne,General,N/A,2.0,25.0,Lyonar,Basic,Core,Bloodbound Spell: Give a friendly minion nearby your General +2 Attack.
51,Brome Warcrest,General,N/A,2.0,25.0,Lyonar,Basic,Core,Bloodbound Spell: Summon a 1/2 Crestfallen with <b>Zeal</b>: <b>Provoke</b> in front of your General.
323,Cassyva Soulreaper,General,N/A,2.0,25.0,Abyssian,Basic,Core,"Bloodbound Spell: Deal 1 damage to a minion. If it dies this turn, the space turns into Shadow Creep."
254,Ciphyron Ascendant,General,N/A,2.0,25.0,Vetruvian,Basic,Core,Bloodbound Spell: Give an enemy minion -2 Attack until your next turn.
501,Faie Bloodwing,General,N/A,2.0,25.0,Vanar,Basic,Core,Bloodbound Spell: Deal 2 damage to all enemies in the enemy General's Column.
558,Ilena Cryobyte,General,N/A,2.0,25.0,Vanar,Basic,Core,Bloodbound Spell: <b>Stun</b> a nearby enemy minion.
101,Kaleos Xaan,General,N/A,2.0,25.0,Songhai,Basic,Core,Bloodbound Spell: Teleport a friendly minion up to 2 spaces.
527,Kara Winterblade,General,N/A,2.0,25.0,Vanar,Basic,Core,Bloodbound Spell: Friendly minions summoned this turn gain +1/+1.
301,Lilithe Blightchaser,General,N/A,2.0,25.0,Abyssian,Basic,Core,Bloodbound Spell: Summon 2 Wraithlings nearby your General.
355,Maehv Skinsolder,General,N/A,2.0,25.0,Abyssian,Basic,Core,Bloodbound Spell: Destroy a friendly minion to summon a 4/4 Husk nearby. Deal 2 damage to your General.
449,Ragnora the Relentless,General,N/A,2.0,25.0,Magmar,Basic,Core,Bloodbound Spell: Summon a Ripper Egg nearby your General.
123,Reva Eventide,General,N/A,2.0,25.0,Songhai,Basic,Core,Bloodbound Spell: Summon a Heartseeker nearby your General.
223,Scioness Sajj,General,N/A,2.0,25.0,Vetruvian,Basic,Core,Bloodbound Spell: Your General deals double damage to minions this turn.
152,Shidai Stormblossom,General,N/A,2.0,25.0,Songhai,Basic,Core,Bloodbound Spell: Put a Spellsword into your action bar that cannot be replaced.
418,Starhorn the Seeker,General,N/A,2.0,25.0,Magmar,Basic,Core,Bloodbound Spell: Both players draw a card.
401,Vaath the Immortal,General,N/A,2.0,25.0,Magmar,Basic,Core,Bloodbound Spell: Give your General +1 Attack.
23,Zir'An Sunforge,General,N/A,2.0,25.0,Lyonar,Basic,Core,Bloodbound Spell: Restore 3 Health to any Minion.
201,Zirix Starstrider,General,N/A,2.0,25.0,Vetruvian,Basic,Core,Bloodbound Spell: Summon a 2/2 Iron Dervish on a random space nearby your General.
20109,Beam Shock,Spell,0.0,N/A,N/A,Lyonar,Common,Core,<b>Stun</b> an enemy.
20335,Burden of Knowledge,Spell,0.0,N/A,N/A,Vetruvian,Common,Immortal,Deal 3 damage to your General to draw a card.
20111,Dampening Wave,Spell,0.0,N/A,N/A,Magmar,Basic,Core,Choose an enemy minion. It can no longer counterattack.
20059,Darkfire Sacrifice,Spell,0.0,N/A,N/A,Abyssian,Rare,Core,Destroy a friendly minion. Your next minion costs 2 less.
20139,Flash Freeze,Spell,0.0,N/A,N/A,Vanar,Basic,Core,Deal 1 damage to a minion and <b>Stun</b> it.
20112,Flash Reincarnation,Spell,0.0,N/A,N/A,Magmar,Rare,Core,"If the next card you play this turn is a minion, it costs 2 less and takes 2 damage."
154,Hideatsu the Ebon Ox,Minion,0.0,5.0,5.0,Songhai,Mythron,Mythron,<b>Trial</b>: Summon 7 minions from your action bar with different costs.<br/><b>Destiny</b>: Summon friendly minions to deal their cost as damage to an enemy.
20129,Juxtaposition,Spell,0.0,N/A,N/A,Songhai,Epic,Core,Switch positions between ANY two minions.
20085,Mana Vortex,Spell,0.0,N/A,N/A,Songhai,Rare,Core,The next spell you cast this turn costs 1 less.
20355,Meditate,Spell,0.0,N/A,N/A,Songhai,Rare,Mythron,Shuffle five copies of the spell you cast most recently into your deck (excluding Meditate).
20150,Polarity,Spell,0.0,N/A,N/A,Vanar,Common,Core,Switch ANY minion's Attack and Health.
227,Rae,Battle Pet,0.0,1.0,1.0,Vetruvian,Common,ShimZar,<b>Dying Wish</b>: Dispel the nearest enemy minion.
20073,Siphon Energy,Spell,0.0,N/A,N/A,Vetruvian,Common,Core,Dispel an enemy minion nearby your General.
20316,Steadfast Formation,Spell,0.0,N/A,N/A,Lyonar,Common,Immortal,Give friendly minions in a 2x2 area <b>Provoke</b>.
30004,Sunstone Bracers,Artifact,0.0,N/A,N/A,Lyonar,Basic,Core,Your General gains +1 Attack.
308,Abyssal Crawler,Minion,1.0,2.0,1.0,Abyssian,Basic,Core,"At the end of your turn, turn a nearby space into <b>Shadow Creep</b>."
126,Ace,Battle Pet,1.0,1.0,2.0,Songhai,Common,ShimZar,<b>Ranged</b>
20120,Aegis Barrier,Spell,1.0,N/A,N/A,Lyonar,Legendary,Core,Choose a friendly minion. It can't be targeted by enemy spells. Draw a card.
20158,Aerial Rift,Spell,1.0,N/A,N/A,Lyonar,Epic,Core,Give your minions <b>Airdrop</b> this turn.  Draw a card.
20119,Amplification,Spell,1.0,N/A,N/A,Magmar,Common,Core,Give a friendly damaged minion +2 Attack and +4 Health.
20255,Arid Unmaking,Spell,1.0,N/A,N/A,Vetruvian,Common,Unearthed,Destroy a friendly minion to turn its space into <b>Exhuming Sand</b>.
20393,Aspect of Ego,Spell,1.0,N/A,N/A,Vanar,Rare,Mythron,Transform ANY minion into a random minion of the same cost.
20323,Assassination Protocol,Spell,1.0,N/A,N/A,Songhai,Common,Immortal,Reactivate an exhausted friendly minion. It cannot damage or attack Generals this turn.
20132,Auroras Tears,Spell,1.0,N/A,N/A,Vetruvian,Epic,Core,"This turn, your General gains +2 Attack for every equipped artifact."
20045,Auryn Nexus,Spell,1.0,N/A,N/A,Lyonar,Common,Core,Give a friendly minion +3 Health.
20286,Azure Summoning,Spell,1.0,N/A,N/A,Vetruvian,Epic,Unearthed,"Whenever you summon a minion with <b>Flying</b> from your action bar this turn, draw a minion with <b>Flying</b> from your deck."
20075,Blindscorch,Spell,1.0,N/A,N/A,Vetruvian,Basic,Core,Lower a minion's Attack to 0 until your next turn.
19052,Bloodtear Alchemist,Minion,1.0,2.0,1.0,Neutral,Basic,Core,<b>Opening Gambit</b>: Deal 1 damage to an enemy.
30023,Crescent Spear,Artifact,1.0,N/A,N/A,Songhai,Legendary,ShimZar,Your General gains +1 Attack. Spells you cast that deal damage deal +1 damage.
20115,Dance of Dreams,Spell,1.0,N/A,N/A,Magmar,Basic,Core,"Whenever a friendly minion dies this turn, draw a card."
20376,Demonic Conversion,Spell,1.0,N/A,N/A,Abyssian,Common,Mythron,Draw a minion from your opponent's deck. It gains +1/+1.
10001,Dragonlark,Minion,1.0,2.0,1.0,Neutral,Basic,Core,<b>Flying</b>
20233,Draining Wave,Spell,1.0,N/A,N/A,Lyonar,Common,Ancients,Deal 4 damage to a minion AND your General.
11022,Dreamgazer,Minion,1.0,1.0,1.0,Neutral,Epic,Core,"When you replace this card, summon it on a random nearby space. Your General takes 2 damage."
20300,Droplift,Spell,1.0,N/A,N/A,Vetruvian,Rare,Unearthed,Steal a random artifact from the enemy General and equip it.
20329,Essence Sculpt,Spell,1.0,N/A,N/A,Vanar,Rare,Immortal,Choose a <b>Stunned</b> minion. Put a copy of that card into your action bar.
30037,Eternal Heart,Artifact,1.0,N/A,N/A,Magmar,Legendary,Unearthed,Your General cannot die.
20189,Fighting Spirit,Spell,1.0,N/A,N/A,Lyonar,Epic,ShimZar,Give all friendly minions +1 Health. Put a random Battle Pet into your action bar.
20287,Fortified Assault,Spell,1.0,N/A,N/A,Lyonar,Rare,Unearthed,Turn an enemy minion's space into <b>Hallowed Ground</b>. Deal it 1 damage for each friendly <b>Hallowed Ground</b>.
331,Furiosa,Minion,1.0,1.0,2.0,Abyssian,Common,Ancients,<b>Blood Surge</b>: Friendly Wraithlings gain +1/+1.
20088,Ghost Lightning,Spell,1.0,N/A,N/A,Songhai,Basic,Core,Deal 1 damage to all enemy minions.
30028,Godhammer,Artifact,1.0,N/A,N/A,Magmar,Rare,Ancients,"Your minions have ""Grow: +1/+1."""
20275,Gotatsu,Spell,1.0,N/A,N/A,Songhai,Common,Unearthed,Deal 1 damage to a minion. Draw a card at end of turn.
20070,Grasp of Agony,Spell,1.0,N/A,N/A,Abyssian,Common,Core,"Choose an enemy minion. When it dies, it deals 3 damage to enemies around it."
20116,Greater Fortitude,Spell,1.0,N/A,N/A,Magmar,Basic,Core,Give a friendly minion +2/+2.
108,Heartseeker,Minion,1.0,1.0,1.0,Songhai,Common,Core,<b>Ranged</b>
19002,Helm of MECHAZ0R,Mech,1.0,2.0,2.0,Neutral,Common,Core,<b>Opening Gambit</b>: Progresses MECHAZ0R build by +20%.
30005,Horn of the Forsaken,Artifact,1.0,N/A,N/A,Abyssian,Basic,Core,"Whenever your General deals damage, summon a 1/1 Wraithling nearby your General."
30052,Horned Mask,Artifact,1.0,N/A,N/A,Songhai,Epic,Mythron,"Your General gains +1 Attack.<br/>After a friendly minion with <b>Backstab</b> attacks, it gains +1/+1."
30031,Iceshatter Gauntlet,Artifact,1.0,N/A,N/A,Vanar,Rare,Ancients,"Whenever your General attacks a <b>Stunned</b> minion, destroy it instantly."
20272,Inkling Surge,Spell,1.0,N/A,N/A,Abyssian,Common,Unearthed,"Summon a 1/1 Wraithling. If you have another Wraithling, draw a card."
20086,Inner Focus,Spell,1.0,N/A,N/A,Songhai,Basic,Core,Reactivate an exhausted friendly minion with 3 or less Attack.
20256,Joseki,Spell,1.0,N/A,N/A,Songhai,Common,Ancients,Each player steals a random card from their opponent's deck.
129,Katara,Minion,1.0,1.0,3.0,Songhai,Common,ShimZar,<b>Backstab</b>: (3).
20313,Kinematic Projection,Spell,1.0,N/A,N/A,Vetruvian,Rare,Immortal,Give a minion Blast. It can no longer move.
20354,Knucklestorm,Spell,1.0,N/A,N/A,Songhai,Common,Mythron,<b>Intensify</b>: Deal 1 damage to an enemy.
11053,Koi,Battle Pet,1.0,3.0,1.0,Neutral,Common,ShimZar,This minion takes no damage from Generals.
10018,Komodo Charger,Minion,1.0,1.0,3.0,Neutral,Basic,Core,
20203,Lava Lance,Spell,1.0,N/A,N/A,Magmar,Common,ShimZar,"Deal 2 damage to a minion. If you have an Egg, deal 4 damage instead."
20361,Lifestream,Spell,1.0,N/A,N/A,Lyonar,Common,Mythron,"Fully heal a friendly minion, then draw a copy of it from your deck."
20062,Lionheart Blessing,Spell,1.0,N/A,N/A,Lyonar,Rare,Core,"Give a friendly minion, ""Zeal: Whenever this minion deals damage, draw a card."""
20161,Magnetize,Spell,1.0,N/A,N/A,Lyonar,Rare,Core,Pull ANY minion to the space in front of your General.
20261,Mana Deathgrip,Spell,1.0,N/A,N/A,Vanar,Common,Ancients,"Deal 1 damage to an enemy minion. If it dies this turn, permanently gain 1 mana crystal."
20138,Mesmerize,Spell,1.0,N/A,N/A,Vanar,Rare,Core,Teleport an enemy one space.
11141,Mirrorrim,Minion,1.0,2.0,1.0,Neutral,Common,Mythron,<b>Opening Gambit</b>: Shuffle three copies of a friendly minion into your deck.
20168,Mist Dragon Seal,Spell,1.0,N/A,N/A,Songhai,Common,Core,Give a friendly minion +1/+1 and teleport it anywhere.
20167,Mist Walking,Spell,1.0,N/A,N/A,Songhai,Rare,Core,Teleport your General up to 2 spaces.
20269,Nethermeld,Spell,1.0,N/A,N/A,Abyssian,Epic,Unearthed,Teleport ANY minion to friendly <b>Shadow Creep</b>.
30036,Oblivion Sickle,Artifact,1.0,N/A,N/A,Vetruvian,Legendary,Unearthed,"Whenever your General destroys an enemy, turn that space into <b>Exhuming Sand</b>."
20241,Obscuring Blow,Spell,1.0,N/A,N/A,Songhai,Rare,Ancients,Give a friendly minion or General <b>Backstab</b> (2).
20356,Painful Pluck,Spell,1.0,N/A,N/A,Abyssian,Common,Mythron,"<b>Intensify</b>: Turn 1 random space into <b>Shadow Creep</b>, prioritizing spaces under enemy minions."
20378,Planar Foundry,Spell,1.0,N/A,N/A,Vetruvian,Common,Mythron,Draw an artifact from your deck.
10019,Planar Scout,Minion,1.0,2.0,1.0,Neutral,Basic,Core,<b>Airdrop</b>
11016,Prophet of the White Palm,Minion,1.0,1.0,1.0,Neutral,Rare,Core,<b>Opening Gambit</b>: Prevent ALL spell damage until your next turn.
